index,occupation,energy_Eh,energy_eV,irrep
752,0.0,1.610715,43.8298,
753,0.0,1.610734,43.8303,
754,0.0,1.610759,43.831,
755,0.0,1.612173,43.8695,
756,0.0,1.612264,43.8719,
757,0.0,1.612445,43.8768,
758,0.0,1.621264,44.1168,
759,0.0,1.621719,44.1292,
760,0.0,1.621918,44.1346,
761,0.0,1.622086,44.1392,
762,0.0,1.632982,44.4357,
763,0.0,1.633057,44.4377,
764,0.0,1.633123,44.4395,
765,0.0,1.655427,45.0465,
766,0.0,1.655443,45.0469,
767,0.0,1.655445,45.047,
768,0.0,1.664058,45.2813,
769,0.0,1.664091,45.2822,
770,0.0,1.66414,45.2835,
771,0.0,1.664171,45.2844,
772,0.0,1.664182,45.2847,
773,0.0,1.665911,45.3317,
774,0.0,1.666075,45.3362,
775,0.0,1.666093,45.3367,
776,0.0,1.666134,45.3378,
777,0.0,1.671941,45.4958,
778,0.0,1.672106,45.5003,
779,0.0,1.672236,45.5038,
780,0.0,1.67227,45.5048,
781,0.0,1.672559,45.5126,
782,0.0,1.712608,46.6024,
783,0.0,1.715614,46.6842,
784,0.0,1.715718,46.6871,
785,0.0,1.716211,46.7005,
786,0.0,1.719519,46.7905,
787,0.0,1.719949,46.8022,
788,0.0,1.720316,46.8122,
789,0.0,1.720502,46.8172,
790,0.0,1.721093,46.8333,
791,0.0,1.722031,46.8588,
792,0.0,1.722042,46.8591,
793,0.0,1.722098,46.8607,
794,0.0,1.722143,46.8619,
795,0.0,1.722186,46.8631,
796,0.0,1.747929,47.5636,
797,0.0,1.762471,47.9593,
798,0.0,1.76751,48.0964,
