index,occupation,energy_Eh,energy_eV,irrep
1401,0.0,4.187563,113.9494,
1402,0.0,4.192036,114.0711,
1403,0.0,4.195837,114.1745,
1404,0.0,4.20369,114.3882,
1405,0.0,4.209056,114.5342,
1406,0.0,4.213481,114.6546,
1407,0.0,4.217722,114.7701,
1408,0.0,4.219852,114.828,
1409,0.0,4.22844,115.0617,
1410,0.0,4.234194,115.2183,
1411,0.0,4.237985,115.3214,
1412,0.0,4.244232,115.4914,
1413,0.0,4.248312,115.6025,
1414,0.0,4.248653,115.6117,
1415,0.0,4.255437,115.7963,
1416,0.0,4.258392,115.8767,
1417,0.0,4.267467,116.1237,
1418,0.0,4.271085,116.2221,
1419,0.0,4.272961,116.2732,
1420,0.0,4.283246,116.5531,
1421,0.0,4.288328,116.6913,
1422,0.0,4.295295,116.8809,
1423,0.0,4.299198,116.9871,
1424,0.0,4.302089,117.0658,
1425,0.0,4.304853,117.141,
1426,0.0,4.309824,117.2763,
1427,0.0,4.31321,117.3684,
1428,0.0,4.315592,117.4332,
1429,0.0,4.320444,117.5652,
1430,0.0,4.325811,117.7113,
1431,0.0,4.329813,117.8202,
1432,0.0,4.333345,117.9163,
1433,0.0,4.33821,118.0487,
1434,0.0,4.3399,118.0947,
1435,0.0,4.347956,118.3139,
1436,0.0,4.350652,118.3873,
1437,0.0,4.353048,118.4525,
1438,0.0,4.357221,118.566,
1439,0.0,4.360105,118.6445,
1440,0.0,4.365273,118.7851,
1441,0.0,4.367987,118.859,
1442,0.0,4.368999,118.8865,
1443,0.0,4.374469,119.0354,
1444,0.0,4.380521,119.2,
1445,0.0,4.384263,119.3019,
1446,0.0,4.392845,119.5354,
1447,0.0,4.3946,119.5832,
1448,0.0,4.39669,119.64,
1449,0.0,4.401125,119.7607,
1450,0.0,4.405771,119.8871,
1451,0.0,4.408253,119.9547,
1452,0.0,4.410704,120.0213,
1453,0.0,4.413404,120.0948,
1454,0.0,4.422485,120.3419,
1455,0.0,4.430901,120.5709,
1456,0.0,4.437647,120.7545,
1457,0.0,4.440345,120.8279,
1458,0.0,4.443918,120.9252,
1459,0.0,4.448588,121.0522,
1460,0.0,4.453264,121.1795,
1461,0.0,4.456901,121.2784,
1462,0.0,4.461835,121.4127,
1463,0.0,4.470294,121.6429,
1464,0.0,4.476528,121.8125,
1465,0.0,4.481223,121.9403,
1466,0.0,4.492624,122.2505,
1467,0.0,4.502554,122.5207,
1468,0.0,4.506879,122.6384,
1469,0.0,4.511027,122.7513,
1470,0.0,4.515883,122.8834,
1471,0.0,4.52234,123.0591,
1472,0.0,4.533242,123.3558,
1473,0.0,4.538355,123.4949,
1474,0.0,4.540635,123.557,
1475,0.0,4.547642,123.7476,
1476,0.0,4.55145,123.8513,
1477,0.0,4.556777,123.9962,
1478,0.0,4.56907,124.3307,
1479,0.0,4.57817,124.5784,
1480,0.0,4.579334,124.61,
1481,0.0,4.59347,124.9947,
1482,0.0,4.599033,125.146,
1483,0.0,4.622422,125.7825,
1484,0.0,4.625616,125.8694,
1485,0.0,4.62998,125.9882,
1486,0.0,4.636958,126.178,
1487,0.0,4.641428,126.2997,
1488,0.0,4.655799,126.6907,
1489,0.0,4.658953,126.7766,
1490,0.0,4.667879,127.0194,
1491,0.0,4.672919,127.1566,
1492,0.0,4.682517,127.4178,
1493,0.0,4.69366,127.721,
1494,0.0,4.69955,127.8813,
1495,0.0,4.706439,128.0687,
1496,0.0,4.710283,128.1733,
1497,0.0,4.714534,128.289,
1498,0.0,4.732501,128.7779,
1499,0.0,4.735945,128.8716,
1500,0.0,4.743476,129.0765,
1501,0.0,4.746748,129.1656,
1502,0.0,4.760168,129.5307,
1503,0.0,4.765054,129.6637,
1504,0.0,4.772152,129.8569,
1505,0.0,4.777319,129.9975,
1506,0.0,4.781633,130.1149,
1507,0.0,4.787191,130.2661,
1508,0.0,4.792183,130.4019,
1509,0.0,4.805165,130.7552,
1510,0.0,4.817679,131.0957,
1511,0.0,4.827303,131.3576,
1512,0.0,4.828976,131.4031,
1513,0.0,4.84088,131.727,
1514,0.0,4.855768,132.1322,
1515,0.0,4.860344,132.2567,
1516,0.0,4.869469,132.505,
1517,0.0,4.879596,132.7806,
1518,0.0,4.883153,132.8773,
1519,0.0,4.891437,133.1028,
1520,0.0,4.894147,133.1765,
1521,0.0,4.904341,133.4539,
1522,0.0,4.912069,133.6642,
1523,0.0,4.922367,133.9444,
1524,0.0,4.92905,134.1263,
1525,0.0,4.938247,134.3765,
1526,0.0,4.948026,134.6426,
1527,0.0,4.959538,134.9559,
1528,0.0,4.961642,135.0131,
1529,0.0,4.975138,135.3804,
1530,0.0,4.980678,135.5312,
1531,0.0,4.983828,135.6169,
1532,0.0,4.991434,135.8238,
1533,0.0,4.998836,136.0252,
1534,0.0,5.0012,136.0896,
1535,0.0,5.012194,136.3887,
1536,0.0,5.0193,136.5821,
1537,0.0,5.030098,136.8759,
1538,0.0,5.03821,137.0967,
1539,0.0,5.054526,137.5406,
1540,0.0,5.064588,137.8144,
1541,0.0,5.070973,137.9882,
1542,0.0,5.077291,138.1601,
1543,0.0,5.089412,138.4899,
1544,0.0,5.100767,138.7989,
1545,0.0,5.110438,139.0621,
1546,0.0,5.110859,139.0735,
1547,0.0,5.126673,139.5039,
1548,0.0,5.152701,140.2121,
1549,0.0,5.158819,140.3786,
1550,0.0,5.178124,140.9039,
1551,0.0,5.1814,140.9931,
1552,0.0,5.197073,141.4195,
1553,0.0,5.20467,141.6263,
1554,0.0,5.213131,141.8565,
1555,0.0,5.226539,142.2214,
1556,0.0,5.233746,142.4175,
1557,0.0,5.240851,142.6108,
1558,0.0,5.248239,142.8118,
1559,0.0,5.252598,142.9305,
1560,0.0,5.261455,143.1715,
1561,0.0,5.269081,143.379,
1562,0.0,5.271992,143.4582,
1563,0.0,5.273423,143.4971,
1564,0.0,5.287277,143.8741,
1565,0.0,5.299491,144.2065,
1566,0.0,5.315076,144.6306,
1567,0.0,5.326646,144.9454,
1568,0.0,5.338133,145.258,
1569,0.0,5.34223,145.3695,
1570,0.0,5.343988,145.4173,
1571,0.0,5.357879,145.7953,
1572,0.0,5.36042,145.8645,
1573,0.0,5.365387,145.9996,
1574,0.0,5.367948,146.0693,
1575,0.0,5.373082,146.209,
1576,0.0,5.387401,146.5986,
1577,0.0,5.398327,146.8959,
1578,0.0,5.406027,147.1055,
1579,0.0,5.416234,147.3832,
1580,0.0,5.419506,147.4722,
1581,0.0,5.424846,147.6176,
1582,0.0,5.437916,147.9732,
1583,0.0,5.439258,148.0097,
1584,0.0,5.451634,148.3465,
1585,0.0,5.468759,148.8125,
1586,0.0,5.489838,149.3861,
1587,0.0,5.493066,149.4739,
1588,0.0,5.507133,149.8567,
1589,0.0,5.521654,150.2519,
1590,0.0,5.525939,150.3684,
1591,0.0,5.529418,150.4631,
1592,0.0,5.563161,151.3813,
1593,0.0,5.56848,151.526,
1594,0.0,5.583896,151.9455,
1595,0.0,5.589499,152.098,
1596,0.0,5.590871,152.1353,
1597,0.0,5.601335,152.4201,
1598,0.0,5.613695,152.7564,
1599,0.0,5.616936,152.8446,
1600,0.0,5.619858,152.9241,
1601,0.0,5.622161,152.9868,
1602,0.0,5.622231,152.9887,
1603,0.0,5.632305,153.2628,
1604,0.0,5.641844,153.5224,
1605,0.0,5.643257,153.5608,
1606,0.0,5.657646,153.9524,
1607,0.0,5.66803,154.2349,
1608,0.0,5.67739,154.4896,
1609,0.0,5.697059,155.0249,
1610,0.0,5.703289,155.1944,
1611,0.0,5.755416,156.6128,
1612,0.0,5.769161,156.9869,
1613,0.0,5.788661,157.5175,
1614,0.0,5.797745,157.7647,
1615,0.0,5.811389,158.1359,
1616,0.0,5.812811,158.1746,
1617,0.0,5.833539,158.7387,
1618,0.0,5.848423,159.1437,
1619,0.0,5.909972,160.8185,
1620,0.0,5.917845,161.0328,
1621,0.0,5.925359,161.2372,
1622,0.0,5.94474,161.7646,
1623,0.0,5.949396,161.8913,
1624,0.0,5.984919,162.8579,
1625,0.0,6.003202,163.3554,
1626,0.0,6.013252,163.6289,
1627,0.0,6.048428,164.5861,
1628,0.0,6.059065,164.8755,
1629,0.0,6.117624,166.469,
1630,0.0,6.157852,167.5637,
1631,0.0,6.169061,167.8687,
1632,0.0,6.188936,168.4095,
1633,0.0,6.202787,168.7864,
1634,0.0,6.229817,169.5219,
1635,0.0,6.259557,170.3312,
1636,0.0,6.26316,170.4292,
1637,0.0,6.312173,171.763,
1638,0.0,6.357156,172.987,
1639,0.0,6.367958,173.2809,
1640,0.0,6.416287,174.5961,
1641,0.0,6.445489,175.3907,
1642,0.0,6.466284,175.9565,
1643,0.0,6.47157,176.1004,
1644,0.0,6.51389,177.252,
1645,0.0,6.527405,177.6197,
1646,0.0,6.544865,178.0948,
1647,0.0,6.546377,178.136,
1648,0.0,6.554763,178.3642,
1649,0.0,6.656188,181.1241,
1650,0.0,6.663917,181.3344,
1651,0.0,6.703592,182.414,
1652,0.0,6.795781,184.9226,
1653,0.0,6.835568,186.0053,
1654,0.0,6.841268,186.1604,
1655,0.0,6.867123,186.8639,
1656,0.0,6.93987,188.8435,
1657,0.0,6.946233,189.0166,
1658,0.0,6.960397,189.402,
1659,0.0,6.968707,189.6282,
1660,0.0,6.971121,189.6939,
1661,0.0,6.993491,190.3026,
1662,0.0,7.064073,192.2232,
1663,0.0,7.149721,194.5538,
1664,0.0,7.201958,195.9752,
1665,0.0,7.202852,195.9996,
1666,0.0,7.20763,196.1296,
1667,0.0,7.236775,196.9227,
1668,0.0,7.29679,198.5558,
1669,0.0,7.38132,200.8559,
1670,0.0,7.387933,201.0359,
1671,0.0,7.443005,202.5345,
1672,0.0,7.469517,203.2559,
1673,0.0,7.570373,206.0003,
1674,0.0,22.367502,608.6507,
1675,0.0,22.41293,609.8868,
1676,0.0,22.48224,611.7729,
1677,0.0,22.491209,612.0169,
1678,0.0,22.566632,614.0693,
1679,0.0,22.591744,614.7526,
1680,0.0,22.644527,616.1889,
1681,0.0,22.671387,616.9198,
1682,0.0,22.68424,617.2696,
1683,0.0,22.695546,617.5772,
1684,0.0,22.724264,618.3587,
1685,0.0,22.733561,618.6116,
1686,0.0,22.738995,618.7595,
1687,0.0,22.75064,619.0764,
1688,0.0,22.756185,619.2273,
1689,0.0,22.764887,619.4641,
1690,0.0,22.772633,619.6749,
1691,0.0,22.812455,620.7585,
1692,0.0,22.849519,621.767,
1693,0.0,22.866927,622.2407,
1694,0.0,22.870828,622.3469,
1695,0.0,22.913335,623.5035,
1696,0.0,22.923257,623.7735,
1697,0.0,22.949939,624.4996,
1698,0.0,22.973545,625.1419,
1699,0.0,22.98451,625.4403,
1700,0.0,23.169972,630.487,
1701,0.0,23.201387,631.3418,
1702,0.0,23.213372,631.668,
1703,0.0,23.234621,632.2462,
1704,0.0,23.244666,632.5195,
1705,0.0,23.265852,633.096,
1706,0.0,23.326849,634.7558,
1707,0.0,23.355089,635.5243,
1708,0.0,23.482471,638.9905,
1709,0.0,23.561654,641.1452,
1710,0.0,23.626116,642.8993,
