index,occupation,energy_Eh,energy_eV,irrep
368,0.0,0.540796,14.7158,
369,0.0,0.540798,14.7159,
370,0.0,0.564066,15.349,
371,0.0,0.564099,15.3499,
372,0.0,0.564135,15.3509,
373,0.0,0.564188,15.3523,
374,0.0,0.565762,15.3952,
375,0.0,0.565773,15.3955,
376,0.0,0.565784,15.3958,
377,0.0,0.566033,15.4025,
378,0.0,0.566036,15.4026,
379,0.0,0.566053,15.4031,
380,0.0,0.566059,15.4033,
381,0.0,0.566099,15.4043,
382,0.0,0.573844,15.6151,
383,0.0,0.573848,15.6152,
384,0.0,0.573855,15.6154,
385,0.0,0.576178,15.6786,
386,0.0,0.576185,15.6788,
387,0.0,0.576188,15.6789,
388,0.0,0.576194,15.679,
389,0.0,0.585486,15.9319,
390,0.0,0.592013,16.1095,
391,0.0,0.592059,16.1107,
392,0.0,0.592205,16.1147,
393,0.0,0.592324,16.118,
394,0.0,0.59324,16.1429,
395,0.0,0.593359,16.1461,
396,0.0,0.59358,16.1521,
397,0.0,0.596841,16.2409,
398,0.0,0.596921,16.243,
399,0.0,0.596957,16.244,
400,0.0,0.596983,16.2447,
401,0.0,0.624502,16.9936,
402,0.0,0.624508,16.9937,
403,0.0,0.624521,16.9941,
404,0.0,0.624561,16.9952,
405,0.0,0.624571,16.9954,
406,0.0,0.633997,17.2519,
407,0.0,0.634135,17.2557,
408,0.0,0.634168,17.2566,
409,0.0,0.634233,17.2583,
410,0.0,0.639032,17.3889,
411,0.0,0.63909,17.3905,
412,0.0,0.639157,17.3924,
413,0.0,0.639217,17.394,
414,0.0,0.639246,17.3948,
415,0.0,0.643308,17.5053,
416,0.0,0.643318,17.5056,
417,0.0,0.643342,17.5062,
418,0.0,0.643346,17.5063,
419,0.0,0.643361,17.5067,
420,0.0,0.6536,17.7853,
421,0.0,0.653683,17.7876,
422,0.0,0.653715,17.7885,
423,0.0,0.657789,17.8993,
424,0.0,0.657802,17.8997,
425,0.0,0.657822,17.9002,
426,0.0,0.662695,18.0329,
427,0.0,0.66271,18.0333,
428,0.0,0.662711,18.0333,
429,0.0,0.662733,18.0339,
430,0.0,0.662771,18.0349,
431,0.0,0.66414,18.0722,
432,0.0,0.664165,18.0728,
433,0.0,0.664179,18.0732,
434,0.0,0.664182,18.0733,
435,0.0,0.665278,18.1031,
436,0.0,0.665288,18.1034,
437,0.0,0.665294,18.1036,
438,0.0,0.673223,18.3193,
439,0.0,0.673286,18.321,
440,0.0,0.673317,18.3219,
441,0.0,0.673359,18.323,
442,0.0,0.67339,18.3239,
443,0.0,0.674509,18.3543,
444,0.0,0.674513,18.3544,
