block_index,method,manifold,order_in_block,state,state_label,symmetry,energy_au,energy_eV,energy_cm1,wavelength_nm,s_squared,multiplicity,dominant_from_orbital,dominant_to_orbital,dominant_weight,dominant_coefficient
12,TD-DFT/TDA,SINGLETS,4,4,,,0.178475,4.857,39170.8,255.29220746065945,0.0,1,168a,171a,0.765161,0.87473455
12,TD-DFT/TDA,SINGLETS,5,5,,,0.185961,5.06,40813.8,245.01516643880254,0.0,1,169a,177a,0.316178,0.56229672
12,TD-DFT/TDA,SINGLETS,6,6,,,0.194589,5.295,42707.4,234.15145852943516,0.0,1,162a,172a,0.290331,0.53882392
12,TD-DFT/TDA,SINGLETS,7,7,,,0.19675,5.354,43181.7,231.57958116516951,0.0,1,167a,170a,0.291942,0.54031644
12,TD-DFT/TDA,SINGLETS,8,8,,,0.201492,5.483,44222.4,226.12974420203335,0.0,1,169a,171a,0.764173,0.87416969
12,TD-DFT/TDA,SINGLETS,9,9,,,0.203869,5.548,44744.0,223.49365278026104,0.0,1,169a,176a,0.297604,-0.54553062
13,TD-DFT/TDA,SINGLETS,1,1,,,0.126199,3.434,27697.6,361.04211195193807,0.0,1,169a,170a,0.932331,0.96557312
13,TD-DFT/TDA,SINGLETS,2,2,,,0.167242,4.551,36705.4,272.4394775700578,0.0,1,169a,172a,0.787282,-0.88728923
13,TD-DFT/TDA,SINGLETS,3,3,,,0.173037,4.709,37977.2,263.31588426740257,0.0,1,169a,173a,0.616999,0.78549295
13,TD-DFT/TDA,SINGLETS,4,4,,,0.178423,4.855,39159.3,255.36717969933068,0.0,1,168a,171a,0.765927,-0.87517249
13,TD-DFT/TDA,SINGLETS,5,5,,,0.18603,5.062,40828.8,244.92515087389293,0.0,1,169a,177a,0.310199,0.55695489
13,TD-DFT/TDA,SINGLETS,6,6,,,0.194824,5.301,42759.0,233.86889309852896,0.0,1,162a,172a,0.292199,0.54055457
13,TD-DFT/TDA,SINGLETS,7,7,,,0.196816,5.356,43196.0,231.5029169367534,0.0,1,167a,170a,0.290719,-0.53918373
13,TD-DFT/TDA,SINGLETS,8,8,,,0.201675,5.488,44262.6,225.92436955804675,0.0,1,169a,171a,0.763569,-0.87382428
13,TD-DFT/TDA,SINGLETS,9,9,,,0.204099,5.554,44794.6,223.24119425109276,0.0,1,165a,170a,0.238483,-0.48834747
14,TD-DFT/TDA,SINGLETS,1,1,,,0.125686,3.42,27584.9,362.51717425113014,0.0,1,169a,170a,0.932784,0.96580734
14,TD-DFT/TDA,SINGLETS,2,2,,,0.16741,4.555,36742.3,272.1658687670614,0.0,1,169a,172a,0.775293,-0.88050743
14,TD-DFT/TDA,SINGLETS,3,3,,,0.172952,4.706,37958.5,263.44560506869345,0.0,1,169a,173a,0.6117,0.78211231
14,TD-DFT/TDA,SINGLETS,4,4,,,0.178409,4.855,39156.3,255.3867449171653,0.0,1,168a,171a,0.762701,0.87332751
14,TD-DFT/TDA,SINGLETS,5,5,,,0.185971,5.061,40816.0,245.0019600156801,0.0,1,169a,177a,0.304238,-0.55157807
14,TD-DFT/TDA,SINGLETS,6,6,,,0.194973,5.305,42791.6,233.6907243477692,0.0,1,162a,172a,0.287281,0.53598625
14,TD-DFT/TDA,SINGLETS,7,7,,,0.196699,5.352,43170.5,231.63966134281512,0.0,1,167a,170a,0.295736,0.54381621
14,TD-DFT/TDA,SINGLETS,8,8,,,0.20173,5.489,44274.5,225.86364611683928,0.0,1,169a,171a,0.755512,0.86920172
14,TD-DFT/TDA,SINGLETS,9,9,,,0.204175,5.556,44811.3,223.1579980942307,0.0,1,165a,170a,0.301707,0.54927828
15,TD-DFT/TDA,SINGLETS,1,1,,,0.125497,3.415,27543.3,363.0647017605007,0.0,1,169a,170a,0.933267,-0.96605743
15,TD-DFT/TDA,SINGLETS,2,2,,,0.167676,4.563,36800.7,271.7339615822525,0.0,1,169a,172a,0.766604,0.87555933
15,TD-DFT/TDA,SINGLETS,3,3,,,0.172874,4.704,37941.4,263.56433869071776,0.0,1,169a,173a,0.610045,0.78105387
15,TD-DFT/TDA,SINGLETS,4,4,,,0.178436,4.855,39162.1,255.34892153382992,0.0,1,168a,171a,0.763702,-0.87390052
15,TD-DFT/TDA,SINGLETS,5,5,,,0.185974,5.061,40816.5,244.9989587544253,0.0,1,169a,177a,0.302739,-0.55021705
15,TD-DFT/TDA,SINGLETS,6,6,,,0.195175,5.311,42836.0,233.4485012606219,0.0,1,162a,172a,0.28845,-0.53707539
15,TD-DFT/TDA,SINGLETS,7,7,,,0.196652,5.351,43160.2,231.69494117265444,0.0,1,167a,170a,0.300277,0.54797553
15,TD-DFT/TDA,SINGLETS,8,8,,,0.202055,5.498,44345.9,225.49998985250045,0.0,1,169a,171a,0.759107,0.87126737
15,TD-DFT/TDA,SINGLETS,9,9,,,0.204163,5.556,44808.7,223.17094671347306,0.0,1,165a,170a,0.31067,0.55737736
16,TD-DFT/TDA,SINGLETS,1,1,,,0.125911,3.426,27634.4,361.867816923834,0.0,1,169a,170a,0.933406,0.96612944
16,TD-DFT/TDA,SINGLETS,2,2,,,0.167973,4.571,36865.8,271.2541162812145,0.0,1,169a,172a,0.753465,0.86802371
16,TD-DFT/TDA,SINGLETS,3,3,,,0.172984,4.707,37965.6,263.3963377373201,0.0,1,169a,173a,0.611792,-0.7821715
16,TD-DFT/TDA,SINGLETS,4,4,,,0.178458,4.856,39166.9,255.31762789498273,0.0,1,168a,171a,0.76251,0.873218
16,TD-DFT/TDA,SINGLETS,5,5,,,0.18611,5.064,40846.5,244.81901754128262,0.0,1,169a,177a,0.307032,-0.5541051
16,TD-DFT/TDA,SINGLETS,6,6,,,0.195318,5.315,42867.4,233.27750225112788,0.0,1,162a,172a,0.286616,0.53536576
16,TD-DFT/TDA,SINGLETS,7,7,,,0.196857,5.357,43205.1,231.4541570323874,0.0,1,167a,170a,0.295118,0.54324747
16,TD-DFT/TDA,SINGLETS,8,8,,,0.202581,5.512,44461.3,224.91470109960795,0.0,1,169a,171a,0.741769,0.86126001
16,TD-DFT/TDA,SINGLETS,9,9,,,0.204246,5.558,44826.9,223.08033792209588,0.0,1,165a,170a,0.279833,-0.52899216
17,TD-DFT/TDA,SINGLETS,1,1,,,0.126054,3.43,27665.7,361.45841240236103,0.0,1,169a,170a,0.933539,-0.96619796
